NHHK~Mã nhóm MH~Mã MH~Tên MH~Lớp biên chế~Lịch học ( Thứ | Tiết | Phòng | Tuần)~Số lượng đăng ký~Sĩ số dự kiến~Được đăng ký~Học phí~Ghi chú
20102~5~0MAT200~Toán cao cấp 2~04THC~"   4 |               6,7,8,9,10 |     CS3_04 |      11111111111100000000 "~0~0~Checked~0~TEST1
20102~12~3EED250~Vẽ điện - điện tử~04DDTC~"   0 |                1,2,3,4,5 |    CS1_A25 |      11111100000000000000 "~0~0~Checked~0~TEST1
20102~16~3ELB250~Điện tử cơ bản~04DDTC~"   1 |                1,2,3,4,5 |    CS1_A15 |      11111111111111111111    3 |               6,7,8,9,10 |    CS1_A15 |      11111111111111111111 "~0~0~Checked~0~TEST1
20102~7~1MET250~Cơ học lý thuyết~04CKC,04OTC~"   0 |                1,2,3,4,5 |    CS1_A14 |      01111111111110000000 "~0~0~Checked~0~TEST1
20102~8~1GTD250~Hình họa vẽ kỹ thuật~04CKC,04OTC~"   2 |                1,2,3,4,5 |    CS1_A14 |      11111111111100000000 "~0~0~Checked~0~TEST1
20102~10~VLDC~Vật lý đại cương 2~04CKC,04OTC,04DDTC~"   3 |                1,2,3,4,5 |    CS1_A15 |      11000000000000000000    1 |               6,7,8,9,10 |    CS1_A15 |      11000000000000000000 "~0~0~Checked~0~TEST1
20102~14~3APM250~Cơ học ứng dụng~04DDTC~"   4 |                1,2,3,4,5 |    CS1_A25 |      11111100000000000000 "~0~0~Checked~0~TEST1
20102~13~3ELC250~Mạch điện~04DDTC~"   2 |     1,2,3,4,5,6,7,8,9,10 |    CS1_A22 |      11000000000000000000 "~0~0~Checked~0~TEST1
20102~2~6CAR103~Kiến trúc máy tính~04THC~"   0 |               6,7,8,9,10 |     CS3_04 |      11111111111100000000 "~0~0~Checked~0~TEST1
20102~3~6PTE201~Kỹ thuật lập trình~04THC~"   1 |               6,7,8,9,10 |     CS3_04 |      11111111111100000000 "~0~0~Checked~0~TEST1
20102~9~2MAT250~Vật liệu học~04CKC,04OTC~"   3 |               6,7,8,9,10 |    CS1_A14 |      00011111111100000000 "~0~0~Checked~0~TEST1
20102~1~06DTA102~Cơ sở dữ liệu~04THC~"   0 |                1,2,3,4,5 |     CS3_04 |      11111111111100000000 "~0~0~Checked~0~TEST1
20102~15~3EIS250~An toàn điện~04DDTC~"   0 |               6,7,8,9,10 |    CS1_A15 |      11111100000000000000 "~0~0~Checked~0~TEST1
20102~4~6CNE104~Mạng máy tính~04THC~"   3 |               6,7,8,9,10 |     CS3_04 |      11111111111100000000 "~0~0~Checked~0~TEST1
20102~17~2IAT250~Nhập môn ngành Ô tô~04OTC~"   4 |                1,2,3,4,5 |            |      00000011111100000000 "~0~0~Checked~0~TEST1
20102~6~6APR208~Lập trình ứng dụng~04THC~"   2 |               6,7,8,9,10 |     CS3_04 |      11111111111100000000 "~0~0~Checked~0~TEST1
20102~11~0MAT201~Toán cao cấp 2~04CKC,04OTC,04DDTC~"   5 |                1,2,3,4,5 |    CS1_A15 |      11100000000000000000 "~0~0~Checked~0~TEST1
 
